P0 id;Nivel_PowerBI;Nivel_Qlik;Nivel_Tableau;Nivel_Metabase;Nivel_Looker;Nivel_Looker_Studio;Nivel_Amazon_Quicksight;Nivel_Alteryx;Nivel_Grafana;Nivel_Pentaho;Nivel_Excel;Domina_PowerBI;Domina_Qlik;Domina_Tableau;Domina_Metabase;Domina_Looker;Domina_Looker_Studio;Domina_Amazon_Quicksight;Domina_Alteryx;Domina_Grafana;Domina_Pentaho;Domina_Excel;UF;Idade
0hc6qwa1z9mz3aeb0hc6qwn21gsvs4u3;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;0;0;0;0;0;0;0;0;0;0;SP;25-29
0i6712vqjj653m0i670gfwnl6ta7qnic;0,5;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;RS;35-39
0id8eghh68cl1w98pk0id8ep67ng3t9n;0,0;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;PR;30-34
0ig66tffh8xm8bmo0ig61rg4eh0vfx85;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;PI;25-29
0iozjnemmmz54m3nq0iozjnzm4poermp;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;RS;30-34
0j2vm91zj9pfytz27jax0j2vafif1kuv;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;PR;40-44
0jainribfz6iwp042gdx0jaino4uc71r;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;SP;25-29
0jc0mij71evva7kn778bz30jc0mijucs;1,0;0,0;0,5;0,0;0,5;0,5;0,0;0,5;0,0;0,0;0,0;1;0;0;0;0;0;0;0;0;0;0;SP;30-34
0jca0nbvqe3ufht9p0jca0dwcapmm8fm;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;SP;45-49
0ji2x0gh9fnq4nuej0ji2xknk36lhorh;1,0;0,0;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;0;0;0;0;0;0;0;0;0;0;DF;25-29
0jj9dxfgsq4uhudlwbcs0jj9dxq1k1xm;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;ES;25-29
0jk0bdnu7cufwadn0jk07nuti10opjh8;0,5;0,0;0,0;0,0;0,0;0,0;0,5;0,0;0,0;0,0;0,5;0;0;0;0;0;0;0;0;0;0;0;ES;25-29
0jlaefa4xwwgk5lfga7gsl0jlaefak5x;1,0;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;0;0;0;0;0;0;0;0;0;0;SC;25-29
